party,handicapped_infants,water_project_cost_sharing,adop_of_budget_res,physican_fee_freeze,el_salvador_aid,religious_groups_in_schools,satillite,aid_to_nicaraguan_contras,missile,immigration,synfule_corp_cutback,education,superfund_right,crime,duty_free_export,export_admin_act_south_africa,
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
democrat,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0
democrat,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
republican,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
republican,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0
republican,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
republican,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0
democrat,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
democrat,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0
democrat,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
republican,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0
republican,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0
republican,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
democrat,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0
democrat,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
democrat,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
democrat,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
democrat,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0
republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0
republican,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
democrat,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
republican,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0
republican,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0
democrat,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
republican,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0
republican,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
republican,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0
democrat,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0
democrat,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0
democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0
democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
democrat,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0
democrat,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0
democrat,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0
democrat,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0
democrat,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
republican,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0
democrat,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0
democrat,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0
republican,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0
democrat,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
republican,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
democrat,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0
democrat,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
republican,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0
republican,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
republican,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
democrat,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0
democrat,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0
democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0
democrat,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
democrat,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0
republican,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
democrat,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
democrat,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
democrat,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0
republican,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
democrat,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0
republican,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0
democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0
democrat,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0
republican,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0
democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
republican,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
republican,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
democrat,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0
republican,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
democrat,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
republican,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
democrat,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0
republican,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
democrat,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0
republican,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
democrat,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
democrat,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0
democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
republican,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
republican,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0
democrat,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0
democrat,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
democrat,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0
democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
democrat,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
democrat,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
democrat,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0
republican,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0
democrat,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
democrat,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0
democrat,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
democrat,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0
democrat,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0
democrat,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
democrat,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
democrat,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
democrat,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
democrat,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
republican,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
republican,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
democrat,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
democrat,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
democrat,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
democrat,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
democrat,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
republican,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0
republican,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
republican,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
democrat,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0
democrat,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
democrat,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
republican,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
republican,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
republican,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0
democrat,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0
democrat,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
republican,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
democrat,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0
democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0
democrat,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
democrat,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0
democrat,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
republican,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0
democrat,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0
democrat,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0
republican,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0
democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
republican,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
